x,y,z,T,solid
0.059219947,0.08250199,0.0,307.09752,1.0
0.059219947,0.082926097,0.0,307.09757,1.0
0.059219947,0.083350204,0.0,307.09761,1.0
0.059219947,0.08377431,0.0,307.09765,1.0
0.059219947,0.084198417,0.0,307.09769,1.0
0.059219947,0.084622524,0.0,307.09772,1.0
0.059219947,0.08504663,0.0,307.09774,1.0
0.059219947,0.085470737,0.0,307.09777,1.0
0.059219947,0.085894843,0.0,307.09778,1.0
0.059219947,0.08631895,0.0,307.09779,1.0
0.059219947,0.086743057,0.0,307.0978,1.0
0.059645541,0.08250199,0.0,307.09752,1.0
0.059645541,0.082926097,0.0,307.09757,1.0
0.059645541,0.083350204,0.0,307.09761,1.0
0.059645541,0.08377431,0.0,307.09765,1.0
0.059645541,0.084198417,0.0,307.09769,1.0
0.059645541,0.084622524,0.0,307.09772,1.0
0.059645541,0.08504663,0.0,307.09775,1.0
0.059645541,0.085470737,0.0,307.09777,1.0
0.059645541,0.085894843,0.0,307.09778,1.0
0.059645541,0.08631895,0.0,307.09779,1.0
0.059645541,0.086743057,0.0,307.0978,1.0
0.060071134,0.08250199,0.0,307.09753,1.0
0.060071134,0.082926097,0.0,307.09757,1.0
0.060071134,0.083350204,0.0,307.09762,1.0
0.060071134,0.08377431,0.0,307.09766,1.0
0.060071134,0.084198417,0.0,307.09769,1.0
0.060071134,0.084622524,0.0,307.09772,1.0
0.060071134,0.08504663,0.0,307.09775,1.0
0.060071134,0.085470737,0.0,307.09777,1.0
0.060071134,0.085894843,0.0,307.09779,1.0
0.060071134,0.08631895,0.0,307.0978,1.0
0.060071134,0.086743057,0.0,307.0978,1.0
0.060496728,0.08250199,0.0,307.09753,1.0
0.060496728,0.082926097,0.0,307.09758,1.0
0.060496728,0.083350204,0.0,307.09762,1.0
0.060496728,0.08377431,0.0,307.09766,1.0
0.060496728,0.084198417,0.0,307.0977,1.0
0.060496728,0.084622524,0.0,307.09773,1.0
0.060496728,0.08504663,0.0,307.09776,1.0
0.060496728,0.085470737,0.0,307.09778,1.0
0.060496728,0.085894843,0.0,307.09779,1.0
0.060496728,0.08631895,0.0,307.0978,1.0
0.060496728,0.086743057,0.0,307.09781,1.0
0.060922322,0.08250199,0.0,307.09754,1.0
0.060922322,0.082926097,0.0,307.09759,1.0
0.060922322,0.083350204,0.0,307.09763,1.0
0.060922322,0.08377431,0.0,307.09767,1.0
0.060922322,0.084198417,0.0,307.09771,1.0
0.060922322,0.084622524,0.0,307.09774,1.0
0.060922322,0.08504663,0.0,307.09777,1.0
0.060922322,0.085470737,0.0,307.09779,1.0
0.060922322,0.085894843,0.0,307.0978,1.0
0.060922322,0.08631895,0.0,307.09781,1.0
0.060922322,0.086743057,0.0,307.09782,1.0
0.061347916,0.08250199,0.0,307.09755,1.0
